model_label,model,model_name,endpoint,parsed_percent,seconds,reasoning_tokens,cost
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.8593255000014324,126,0.00419
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.027515599998878,75,0.00266
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.59387960001186,119,0.00398
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,4.006968500005314,136,0.00449
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.557889699994121,116,0.00389
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.8615136000007624,104,0.00353
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,3.774089799990179,48,0.00185
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.221581599995261,99,0.00338
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.1788260000030277,104,0.00353
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.074435300004552,86,0.00299
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,80,3.7949267999938456,72,0.00257
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.7955183000012767,85,0.00296
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,4.4759272000083,144,0.00473
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.8343833000108134,120,0.00401
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,87,4.046261900002719,101,0.00344
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.459060799999861,82,0.00287
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,6.625530300007085,133,0.0044
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.0335143999982392,74,0.00263
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.083930499997223,97,0.00332
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.164334299988695,80,0.00281
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.5471734999882756,54,0.00203
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.00676889999886,160,0.00521
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.322159899995313,59,0.00218
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.095996200005175,70,0.00251
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.6607728999952087,82,0.00287
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.9722951000003377,57,0.00212
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,8.008059900006629,110,0.00371
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,7.062844500003848,198,0.00635
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.40445699999691,81,0.00284
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.095111499991617,112,0.00377
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.6438628000032622,82,0.00287
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.871394899993902,83,0.0029
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,83,3.6356085000006715,50,0.00191
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.9847010000084992,132,0.00437
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,88,3.437545799999498,73,0.0026
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,88,5.3465026000048965,115,0.00386
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,8.475037700001849,157,0.00512
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.2865138000051957,80,0.00281
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.506340699997963,132,0.00437
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.52882099999988,167,0.00542
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.61186189998989,109,0.00368
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,3.469555499992566,71,0.00254
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7194765000022016,50,0.00191
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.422151599996141,137,0.00452
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.67703989999427,99,0.00338
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,80,3.9127832999947714,48,0.00185
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.277040599990869,65,0.00236
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.241644699999597,83,0.0029
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.8197272999968845,125,0.00416
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,86,5.375684400001774,110,0.00371
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.0856674000096973,74,0.00263
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,3.789145600007032,140,0.00461
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.4576736000017263,62,0.00227
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,5.255474499994307,156,0.00509
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.8269860000000335,118,0.00395
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.4577563000057125,199,0.00638
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.267725999990944,70,0.00251
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,90,3.768787400011206,53,0.002
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,3.351059400010854,65,0.00236
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,88,3.7450599999865517,95,0.00326
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,4.303150799998548,72,0.00257
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,3.4419943999964744,75,0.00266
