model_label,model,model_name,endpoint,parsed_percent,seconds,reasoning_tokens,cost
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,,0.07469250001304317,,
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.354885099994135,66,0.00239
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.428484300005948,76,0.00269
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.4330929999996442,86,0.00299
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.4415025000052992,73,0.0026
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,75,2.4610255000006873,59,0.00218
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.5019552999874577,79,0.00278
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.5481972999987192,83,0.0029
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.568299800012028,88,0.00305
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.5893445999972755,78,0.00275
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.5960581000108505,76,0.00269
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.608295599988196,82,0.00287
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.6195601999934297,92,0.00317
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.626285899998038,72,0.00257
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.6277359999949113,77,0.00272
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,80,2.633173500013072,78,0.00275
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.6344123000017134,89,0.00308
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.6475876000040444,91,0.00314
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.6653980999981286,70,0.00251
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.6696831000008387,52,0.00197
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7051951000030385,58,0.00215
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.720581299989135,62,0.00227
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.722684099993785,74,0.00263
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7469735000049695,67,0.00242
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7577361000003293,60,0.00221
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7586907999939285,86,0.00299
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.766556800008402,79,0.00278
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.770995300001232,55,0.00206
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7765165000018897,51,0.00194
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,82,2.7894233999977587,47,0.00182
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.7955302000045776,85,0.00296
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.8095134000031976,73,0.0026
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,80,2.8161524000024656,36,0.00149
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.8195822999987286,85,0.00296
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.8206503999972483,55,0.00206
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.8253134000115097,60,0.00221
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,75,2.8304277999995975,53,0.002
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,78,2.833016700009466,94,0.00323
gpt-5.5,openai/gpt-5.5,OpenAI: GPT-5.5,azure,85,2.845095199998468,53,0.002
